Time,Population,Events
0.00260581,1001,1
1.00126,1258,586
2.0002,1615,1431
3.00106,2032,2478
4.00046,2438,3786
5.00036,2876,5456
6.00034,3362,7542
7.00006,3824,9900
8.00025,4379,12571
9.0004,4902,15844
10.0002,5354,19346
11,5994,23386
12.0003,6477,27809
13.0008,6992,32834
14.0002,7333,38143
15.0001,7755,43733
16.0002,8185,49697
17.0001,8665,56091
18.0001,8995,62857
19.0002,9282,69738
20.0001,9525,77119
21.0001,9745,84687
22.0001,9863,92357
23,9953,100105
24.0001,10073,107867
25.0001,10349,115729
26.0002,10563,124029
27,10635,132545
28,10804,140982
29.0001,10976,149582
30,11012,158239
31.0001,11176,167096
32.0001,11233,175964
33.0003,11390,184991
34,11441,194142
35.0002,11456,203270
36.0002,11384,212253
37.0003,11425,221234
38.0001,11439,230208
39.0003,11544,239561
40,11471,248815
41,11387,258018
42,11418,266927
43.0001,11464,276190
44,11467,285349
45,11621,294528
46.0001,11658,303803
47,11735,313105
48.0004,11653,322611
49,11636,331906
50.0003,11643,341148
51,11668,350499
52.0002,11745,359778
53.0001,11705,369120
54.0002,11667,378383
55.0001,11696,387710
56.0001,11756,397096
57.0002,11913,406498
58.0001,11818,415974
59.0002,11861,425604
60.0005,11782,435061
61.0001,11810,444516
62.0002,11767,453777
63.0002,11845,463128
64.0002,11655,472478
65.0002,11843,481844
66,11853,491247
67.0002,11885,500812
68,11849,510435
69.0001,12030,519809
70.0001,12067,529632
71.0001,11840,539343
72,11875,548818
73.0001,11867,558422
74,11892,568099
75,11831,577599
76.0002,11907,586923
77.0001,11897,596463
78.0002,11917,606132
79,11887,615543
80,11877,625121
81.0001,12007,634659
82,11963,644208
83.0001,11957,653876
84,11954,663589
85.0001,11914,673234
86.0002,12066,682931
87,12011,692992
88,11786,702401
89,11867,711903
90,11988,721586
91.0003,12033,731298
92.0003,11981,741130
93,11824,750718
94,11849,760227
95.0001,11875,769826
96,12017,779382
97.0002,11854,788810
98.0001,11879,798234
99.0004,11891,807700
100,11765,817304
101,11749,826750
102,11688,835893
103,11667,845136
104,11786,854537
105,11834,864213
106,11785,873586
107,11849,882945
108,11740,892384
109,11749,901755
110,11817,911192
111,11732,920680
112,11666,929853
113,11670,939081
114,11681,948337
115,11687,957726
116,11650,966911
117,11710,976230
118,11799,985652
119,11837,995074
120,11791,1004497
121,11655,1014010
122,11706,1023345
123,11761,1032806
124,11903,1042092
125,11792,1051542
126,11786,1061142
127,11850,1070667
128,11679,1079897
129,11671,1089236
130,11655,1098498
131,11656,1107870
132,11674,1117145
133,11604,1126297
134,11712,1135586
135,11749,1144834
136,11785,1154207
137,11932,1163728
138,12020,1173246
139,11912,1182819
140,11845,1192227
141,11909,1201843
142,11810,1211214
143,11682,1220622
144,11687,1229857
145,11669,1239019
146,11762,1248349
147,11863,1257790
148,11937,1267566
149,11991,1277057
150,12019,1286681
151,12005,1296237
152,11952,1305920
